id;created_at;fly_time;arrive_time;trip_identifier;details;ticket_image;trip_type;transit
1;2022-05-07T15:39:56;2022-05-06T22:13:00;2022-05-07T10:51:22;e-business Baby;Analyst Versatile architecture;Unbranded;Universal connect parse;Balboa Bedfordshire Soap
2;2022-05-07T18:44:30;2022-05-07T12:49:13;2022-05-07T11:10:01;Forge back Licensed;infomediaries Way;Keyboard Steel Samoa;sensor;Grass-roots
3;2022-05-06T22:12:08;2022-05-07T06:23:58;2022-05-07T20:50:37;synthesizing Public-key;unleash;Graphic program Haiti;Tala Polarised Practical;deliver
4;2022-05-07T01:06:15;2022-05-07T07:27:21;2022-05-07T15:44:36;Rubber transparent Global;copying Data;front-end grow;Communications;generating Unbranded
5;2022-05-07T09:27:53;2022-05-06T22:58:49;2022-05-07T01:45:16;Gloves Product;Soap quantifying;content Handmade Netherlands;Internal;Total Refined
6;2022-05-07T10:46:43;2022-05-07T05:07:59;2022-05-06T23:10:41;program recontextualize productivity;Consultant Washington;African open-source generating;Optimized;Distributed monitor Interactions
7;2022-05-07T15:57:45;2022-05-07T10:19:37;2022-05-07T17:37:44;eyeballs;Berkshire Avon;green;one-to-one Granite gold;enable
8;2022-05-07T17:41:14;2022-05-07T15:16:10;2022-05-07T21:34:30;multi-byte;Kwacha;black Kids;red;Jewelery microchip generate
9;2022-05-07T20:13:58;2022-05-07T18:59:09;2022-05-07T19:42:55;Market Balanced Generic;Lead microchip olive;Estonia;holistic quantifying;Cheese Metal invoice
10;2022-05-07T11:30:16;2022-05-06T22:51:05;2022-05-07T01:13:49;Rest Unit Home;circuit input invoice;Web efficient mobile;International Account Tools;invoice port
